No.,"Main Process","Use Case / Activity",Relationship,"Related Use Case",Actor,Done,COMMENT
20,"Customer and Vehicle Records Management","View Customer Profile",,,"Admin / Owner; Front Desk Staff",CHECK,"Customer data branch records quotations jobs visits and history display"
21,"Customer and Vehicle Records Management","View Vehicle Profile",<<include>>,"View Customer Profile","Admin / Owner; Front Desk Staff",CHECK,"Plate make model condition mileage owner and service history display"
22,"Customer and Vehicle Records Management","View Service and Ownership History",<<include>>,"View Customer Profile","Admin / Owner; Front Desk Staff",CHECK,"Ownership changes and service history render without warnings"
23,"Customer and Vehicle Records Management","View Cross-Branch Activity",<<extend>>,"View Customer Profile","Admin / Owner; Front Desk Staff",CHECK,"Admin sees all branches front desk sees allowed branch context"
24,"Customer and Vehicle Records Management","Add Customer and Vehicle",,,"Front Desk Staff",CHECK,"Create customer in assigned branch and optionally create first vehicle"
25,"Customer and Vehicle Records Management","Validate Customer Details",<<include>>,"Add Customer and Vehicle","Front Desk Staff",CHECK,"Name mobile duplicate active name and optional fields"
26,"Customer and Vehicle Records Management","Add Vehicle",<<include>>,"Add Customer and Vehicle","Front Desk Staff",CHECK,"Plate make model duplicate plate and archived plate restore rules"
27,"Customer and Vehicle Records Management","Update Customer Details",,,"Front Desk Staff",partial,"Direct API must reject other-branch customer IDs"
28,"Customer and Vehicle Records Management","Update Vehicle Details",,,"Front Desk Staff",partial,"Direct API must reject other-branch vehicle IDs"
29,"Customer and Vehicle Records Management","Archive Branch Customer Record",<<extend>>,"View Customer Profile","Front Desk Staff",partial,"Verify other-branch archive is rejected before cascading related records"
30,"Customer and Vehicle Records Management","Archive Vehicle Record",<<extend>>,"View Vehicle Profile","Front Desk Staff",CHECK,"Set vehicle inactive and write archive metadata"
31,"Customer and Vehicle Records Management","Restore Vehicle Record",<<extend>>,"View Vehicle Profile","Front Desk Staff",CHECK,"Restore inactive vehicle and reconnect customer branch record"
32,"Customer and Vehicle Records Management","Get Customer Vehicles by AJAX",<<include>>,"Select Customer and Vehicle","Front Desk Staff",partial,"Verify direct request cannot read another branch customer vehicles"
33,"Customer and Vehicle Records Management","Record Customer and Vehicle Audit Trail",<<include>>,"Customer and Vehicle Changes",System,CHECK,"Audit rows created for add update archive and restore"
34,"Service Operation Management","View Service Operation Records",,,"Admin / Owner; Front Desk Staff",CHECK,"Admin all branches and front desk assigned branch only"
35,"Service Operation Management","Create Service Operation",,,"Front Desk Staff",CHECK,"Create pending quotation with generated QT number"
36,"Service Operation Management","Record Service Inspection",<<include>>,"Create Service Operation","Front Desk Staff",CHECK,"Complaint findings and recommendations are required"
37,"Service Operation Management","Select Customer and Vehicle",<<include>>,"Create Service Operation","Front Desk Staff",CHECK,"Vehicle must belong to selected customer and branch"
38,"Service Operation Management","Select Services from Catalog",<<include>>,"Create Service Operation","Front Desk Staff",CHECK,"Service catalog choices save correctly"
39,"Service Operation Management","Select Parts Tires or External Items",<<include>>,"Create Service Operation","Front Desk Staff",CHECK,"Inventory external and customer-supplied line types save correctly"
40,"Service Operation Management","Request Other-Branch Item",<<extend>>,"Select Parts Tires or External Items","Front Desk Staff",CHECK,"Creates pending transfer request and donor notification"
41,"Service Operation Management","Validate Inventory Availability",<<include>>,"Select Parts Tires or External Items",System,CHECK,"Own branch insufficient stock rejects before saving"
42,"Service Operation Management","Calculate Operation Total",<<include>>,"Create Service Operation",System,partial,"Confirm labor plus part and tire totals match business rule for service lines"
43,"Service Operation Management","Save Service Operation",<<include>>,"Create Service Operation",System,CHECK,"Transaction commits quotation items and audit log"
44,"Service Operation Management","View Service Operation Details",,,"Admin / Owner; Front Desk Staff",CHECK,"Customer vehicle inspection items status and totals render"
45,"Service Operation Management","Print Service Operation",<<extend>>,"View Service Operation Details","Admin / Owner; Front Desk Staff",partial,"Verify PDF URL rejects other-branch quotation for front desk"
46,"Service Operation Management","Approve Service Operation",<<extend>>,"View Service Operation Details","Front Desk Staff",CHECK,"Pending quotation moves to approved and can become a job order"
47,"Service Operation Management","Reject Service Operation",<<extend>>,"View Service Operation Details","Front Desk Staff",CHECK,"Pending quotation moves to rejected and audit log is written"
48,"Service Operation Management","Edit Service Operation Items",<<extend>>,"View Service Operation Details","Front Desk Staff",CHECK,"Items update totals recalculate and new transfer requests are handled"
49,"Service Operation Management","Archive Pending Service Operation",<<extend>>,"View Service Operation Details","Front Desk Staff",CHECK,"Allowed only before job history or active transfer dependency exists"
50,"Service Operation Management","Cancel Pending Transfer on Archive",<<include>>,"Archive Pending Service Operation",System,CHECK,"Pending related transfer requests and notifications are cancelled or read"
51,"Service Operation Management","Record Service Operation Audit Trail",<<include>>,"Service Operation Changes",System,CHECK,"Create status edit and archive changes write audit log"
52,"Job Orders and Service Status","View Job Orders",,,"Admin / Owner; Front Desk Staff",CHECK,"List filter search and branch visibility by role"
53,"Job Orders and Service Status","Filter Job Orders",<<include>>,"View Job Orders","Admin / Owner; Front Desk Staff",CHECK,"Filter by status branch date and search text"
54,"Job Orders and Service Status","View Job Order Details",<<include>>,"View Job Orders","Admin / Owner; Front Desk Staff",CHECK,"Customer vehicle quote technicians schedule notes and tasks render"
55,"Job Orders and Service Status","Create Job Order",,,"Front Desk Staff",CHECK,"Create manual job or convert approved service operation"
56,"Job Orders and Service Status","Select Approved Service Operation",<<include>>,"Create Job Order","Front Desk Staff",CHECK,"Pending rejected missing or other-branch quotation is rejected"
57,"Job Orders and Service Status","Auto-Populate Customer Vehicle and Services",<<include>>,"Create Job Order",System,CHECK,"Copied quotation fields remain accurate"
58,"Job Orders and Service Status","Assign Technician Names",<<include>>,"Create Job Order","Front Desk Staff",CHECK,"Saved technicians match available branch roster or entered values"
59,"Job Orders and Service Status","Set Job Schedule and Expected Completion",<<include>>,"Create Job Order","Front Desk Staff",CHECK,"Expected completion cannot be earlier than job date"
60,"Job Orders and Service Status","Save Job Order",<<include>>,"Create Job Order",System,CHECK,"Generated JO number is unique and customer visit is created"
61,"Job Orders and Service Status","Update Job Status",,,"Front Desk Staff",CHECK,"Waiting in-progress and completed state rules are enforced"
62,"Job Orders and Service Status","Update Task-Level Progress",,,"Front Desk Staff",CHECK,"Task done and undone updates progress summary"
63,"Job Orders and Service Status","Check Transfer Readiness",<<include>>,"Update Task-Level Progress",System,CHECK,"Transfer-dependent task cannot complete until item is received"
64,"Job Orders and Service Status","Deduct Inventory for Completed Task",<<extend>>,"Update Task-Level Progress",System,CHECK,"Stock decreases once and transaction is logged"
65,"Job Orders and Service Status","Complete Job Order",<<extend>>,"Update Job Status","Front Desk Staff",CHECK,"All work done creates service history and triggers pickup notification"
66,"Job Orders and Service Status","Generate Service History",<<include>>,"Complete Job Order",System,CHECK,"Service history and vehicle last service date are updated"
67,"Job Orders and Service Status","Notify Customer for Pickup",<<include>>,"Complete Job Order",Customer,CHECK,"Customer phone receives queued SMS when available"
68,"Job Orders and Service Status","Queue Pickup SMS Message",<<include>>,"Notify Customer for Pickup",System,CHECK,"No duplicate SMS for repeat completion"
69,"Job Orders and Service Status","Reopen Completed Job Progress",<<extend>>,"Update Task-Level Progress","Front Desk Staff",CHECK,"Unchecking task removes service history and cancels queued SMS"
70,"Job Orders and Service Status","Archive Waiting Job Order",<<extend>>,"View Job Order Details","Front Desk Staff",CHECK,"Only waiting jobs can be archived"
71,"Job Orders and Service Status","View Service Status Board",,,"Admin / Owner; Front Desk Staff",CHECK,"Admin redirected to job orders where implemented and front desk sees board"
72,"Job Orders and Service Status","View Status Summary",<<include>>,"View Service Status Board","Admin / Owner; Front Desk Staff",CHECK,"Counts reflect allowed branch only"
73,"Job Orders and Service Status","Record Job Audit Trail",<<include>>,"Job Order Changes",System,CHECK,"Create status progress completion and archive actions are logged"
74,"Inventory and Stock Movement","View Inventory Records",,,"Admin / Owner; Front Desk Staff",CHECK,"Inventory list search status and branch scoping render"
75,"Inventory and Stock Movement","Search and Filter Inventory",<<include>>,"View Inventory Records","Admin / Owner; Front Desk Staff",CHECK,"Search by item code name category and branch"
76,"Inventory and Stock Movement","View Low Stock Items",<<extend>>,"View Inventory Records","Admin / Owner; Front Desk Staff",CHECK,"Low stock threshold and out-of-stock labels are correct"
77,"Inventory and Stock Movement","View Inventory Transactions",<<extend>>,"View Inventory Records","Admin / Owner; Front Desk Staff",CHECK,"Transaction history shows item type quantity reference user and notes"
78,"Inventory and Stock Movement","Add Inventory Item",,,"Admin / Owner; Front Desk Staff",CHECK,"Create tire part or accessory item with duplicate item code prevention"
79,"Inventory and Stock Movement","Use Active Inventory Branch",<<include>>,"Add Inventory Item",System,CHECK,"Branch must be active and inventory-enabled"
80,"Inventory and Stock Movement","Record Initial Stock",<<extend>>,"Add Inventory Item","Admin / Owner; Front Desk Staff",CHECK,"Initial quantity creates stock-in transaction when entered"
81,"Inventory and Stock Movement","Record Stock In",,,"Front Desk Staff",CHECK,"Increase quantity and write stock-in transaction"
82,"Inventory and Stock Movement","Record Stock Out",,,"Front Desk Staff",CHECK,"Decrease quantity only when enough stock exists"
83,"Inventory and Stock Movement","Tag Stock Out to Customer or Vehicle",<<extend>>,"Record Stock Out","Front Desk Staff",CHECK,"Optional customer and vehicle tags persist"
84,"Inventory and Stock Movement","Transfer Stock Directly",,,"Front Desk Staff",CHECK,"Move stock between matching items across branches"
85,"Inventory and Stock Movement","Update Source and Target Quantities",<<include>>,"Transfer Stock Directly",System,CHECK,"Source decreases and target increases in same transaction"
86,"Inventory and Stock Movement","Save Inventory Transaction",<<include>>,"Inventory Movement",System,CHECK,"Movement transaction and audit log are written"
87,"Inventory and Stock Movement","Prevent Negative Inventory",<<include>>,"Stock Out or Transfer",System,CHECK,"Every deduction path enforces available quantity"
88,"Inventory and Stock Movement","Reject Admin Stock Movement Mutation",<<include>>,"Stock In Stock Out or Direct Transfer","Admin / Owner",CHECK,"Admin can view and add items but front desk owns day-to-day movement"
89,"Inter-Branch Transfer Management","Check Other-Branch Availability",,,"Front Desk Staff",CHECK,"Find matching item in another branch with quantity available"
90,"Inter-Branch Transfer Management","Create Transfer Request",,,"Requesting Branch Front Desk",CHECK,"Requester creates pending request tied to quotation item when needed"
91,"Inter-Branch Transfer Management","Notify Affected Branches",<<include>>,"Create Transfer Request",System,CHECK,"Notifications are sent to donor and requester as appropriate"
92,"Inter-Branch Transfer Management","Review Incoming Item Requests",,,"Donor Branch Front Desk; Admin / Owner",CHECK,"Donor branch sees incoming requests and admin can monitor"
93,"Inter-Branch Transfer Management","Approve Transfer Request",<<extend>>,"Review Incoming Item Requests","Donor Branch Front Desk",CHECK,"Only donor branch or admin can approve"
94,"Inter-Branch Transfer Management","Complete Transfer Request",<<extend>>,"Review Incoming Item Requests","Donor Branch Front Desk",partial,"Code allows completion from pending approved or shipped status; verify business rule"
95,"Inter-Branch Transfer Management","Deduct Donor Stock",<<include>>,"Complete Transfer Request",System,CHECK,"Donor quantity decreases and transaction logs"
96,"Inter-Branch Transfer Management","Receive Stock at Requesting Branch",<<extend>>,"Complete Transfer Request","Requesting Branch Front Desk",CHECK,"Requesting branch inventory increases or receiving rule is confirmed"
97,"Inter-Branch Transfer Management","Mark Transfer Notification Read or Unread",<<extend>>,"Notify Affected Branches","Donor Branch Front Desk; Requesting Branch Front Desk",CHECK,"Only recipient can update transfer notifications"
98,"Inter-Branch Transfer Management","Reject Unauthorized Transfer Mutation",<<include>>,"Approve or Complete Transfer Request",System,partial,"Review CSRF expectations because transfer API actions did not show token checks"
99,"Forecasting and Decision Support","View Inventory Forecasting",,,"Admin / Owner; Front Desk Staff",CHECK,"Forecasting page loads by role and allowed branch"
100,"Forecasting and Decision Support","Select Weekly Monthly or Item Forecast",<<include>>,"View Inventory Forecasting","Admin / Owner; Front Desk Staff",CHECK,"Each forecast view returns expected labels and data"
101,"Forecasting and Decision Support","Apply Branch Category Status Year and Search Filters",<<include>>,"View Inventory Forecasting","Admin / Owner; Front Desk Staff",CHECK,"Admin filters branches and front desk branch tamper is rejected"
102,"Forecasting and Decision Support","Read Active Inventory",<<include>>,"View Inventory Forecasting",System,CHECK,"Only active accessible inventory is included"
103,"Forecasting and Decision Support","Read Historical Stock Movements",<<include>>,"View Inventory Forecasting",System,CHECK,"Stock-out and transfer history drive usage calculations"
104,"Forecasting and Decision Support","Calculate Usage and Demand",<<include>>,"View Inventory Forecasting",System,CHECK,"No divide-by-zero with no movement history"
105,"Forecasting and Decision Support","Classify Stock Risk",<<include>>,"View Inventory Forecasting",System,CHECK,"Out of stock low stock healthy and risk labels are correct"
106,"Forecasting and Decision Support","Recommend Reorder Quantity",<<include>>,"Classify Stock Risk",System,CHECK,"Recommendation is non-negative and sensible"
107,"Forecasting and Decision Support","Recommend Branch Transfer Matches",<<include>>,"Classify Stock Risk",System,CHECK,"Match by normalized size category or item name"
108,"Forecasting and Decision Support","View Forecast Charts",<<include>>,"View Inventory Forecasting","Admin / Owner; Front Desk Staff",CHECK,"Charts render without empty broken canvas states"
109,"Forecasting and Decision Support","View Job Analytics",<<extend>>,"View Inventory Forecasting","Admin / Owner; Front Desk Staff",CHECK,"Job analytics API returns branch-scoped summary and daily trend"
110,"Reports and CSV Export","View Reports",,,"Admin / Owner; Front Desk Staff",CHECK,"Summary and tab sections load without PHP warnings"
111,"Reports and CSV Export","Select Report Type",<<include>>,"View Reports","Admin / Owner; Front Desk Staff",CHECK,"Service item sales vehicle stock movement and archive tabs switch correctly"
112,"Reports and CSV Export","Apply Branch Date Status and Search Filters",<<include>>,"View Reports","Admin / Owner; Front Desk Staff",CHECK,"Date range status search and branch filters return expected rows"
113,"Reports and CSV Export","View Service Report",<<extend>>,"View Reports","Admin / Owner; Front Desk Staff",CHECK,"Service rows totals and links are correct"
114,"Reports and CSV Export","View Item Sales Report",<<extend>>,"View Reports","Admin / Owner; Front Desk Staff",CHECK,"Inventory sales quantities costs and totals are correct"
115,"Reports and CSV Export","View Vehicle and Ownership Report",<<extend>>,"View Reports","Admin / Owner; Front Desk Staff",CHECK,"Current and previous owner fields render correctly"
116,"Reports and CSV Export","View Stock Movement Report",<<extend>>,"View Reports","Admin / Owner; Front Desk Staff",CHECK,"Movements show item type reference user notes and quantities"
117,"Reports and CSV Export","View Archived Records Report",<<extend>>,"View Reports","Admin / Owner; Front Desk Staff",CHECK,"Archived customers vehicles quotations jobs and branches show metadata"
118,"Reports and CSV Export","Export CSV",<<extend>>,"View Reports","Admin / Owner; Front Desk Staff",CHECK,"Export file has metadata headers rows and branch scoping"
119,"Reports and CSV Export","Prevent CSV Injection",<<include>>,"Export CSV",System,partial,"Verify user values starting with equals plus minus or at are handled safely"
120,"System Administration and Maintenance","Manage Service Catalog",,,"Admin / Owner",CHECK,"Front desk must be blocked from catalog management"
121,"System Administration and Maintenance","Add Service",<<include>>,"Manage Service Catalog","Admin / Owner",CHECK,"Validate name category price labor status and variable price flag"
122,"System Administration and Maintenance","Edit Service",<<include>>,"Manage Service Catalog","Admin / Owner",CHECK,"Changes persist without breaking historical service operations"
123,"System Administration and Maintenance","Archive Service",<<extend>>,"Manage Service Catalog","Admin / Owner",CHECK,"Service becomes inactive and history remains"
124,"System Administration and Maintenance","Manage Users and Roles",,,"Admin / Owner",CHECK,"Only admin can create edit deactivate reactivate and archive users"
125,"System Administration and Maintenance","Add User",<<include>>,"Manage Users and Roles","Admin / Owner",CHECK,"Role branch password login ID and duplicate login validation"
126,"System Administration and Maintenance","Edit User",<<include>>,"Manage Users and Roles","Admin / Owner",CHECK,"Password optional update and existing password remains when blank"
127,"System Administration and Maintenance","Assign Role and Branch",<<include>>,"Manage Users and Roles","Admin / Owner",CHECK,"Front desk users require branch and admins do not"
128,"System Administration and Maintenance","Archive or Reactivate User",<<extend>>,"Manage Users and Roles","Admin / Owner",CHECK,"Cannot archive self or remove last active admin"
129,"System Administration and Maintenance","Manage Branches and Technicians",,,"Admin / Owner",CHECK,"Only admin can manage branches and technician rosters"
130,"System Administration and Maintenance","Add Branch",<<include>>,"Manage Branches and Technicians","Admin / Owner",CHECK,"Validate branch name status contact phone and inventory enabled flag"
131,"System Administration and Maintenance","Edit Branch Details",<<include>>,"Manage Branches and Technicians","Admin / Owner",CHECK,"Details persist and invalid phones are rejected"
132,"System Administration and Maintenance","Maintain Technician Roster",<<include>>,"Manage Branches and Technicians","Admin / Owner",CHECK,"Comma semicolon and line break names parse and deduplicate"
133,"System Administration and Maintenance","Archive or Reactivate Branch",<<extend>>,"Manage Branches and Technicians","Admin / Owner",CHECK,"Cannot deactivate last active branch"
134,"System Administration and Maintenance","Configure System Settings",,,"Admin / Owner",partial,"Verify POST requires CSRF because code review did not show token check"
135,"System Administration and Maintenance","Update Branding and Contact Details",<<include>>,"Configure System Settings","Admin / Owner",CHECK,"Company name title email phone and primary color validation"
136,"System Administration and Maintenance","Upload Company Logo",<<extend>>,"Configure System Settings","Admin / Owner",CHECK,"PNG JPG JPEG GIF WEBP under size limit succeeds and invalid uploads fail"
137,"System Administration and Maintenance","Record Audit Trail",<<include>>,"Administration Changes",System,CHECK,"Service user branch technician and settings changes should be auditable"
138,"Security and Regression Risk Checks","Reject Customer Update Across Branch by Direct API",<<include>>,"Update Customer Details","Front Desk Staff",partial,"Probe api/customers-api.php?action=update with foreign customer ID"
139,"Security and Regression Risk Checks","Reject Customer Archive Across Branch by Direct API",<<include>>,"Archive Branch Customer Record","Front Desk Staff",partial,"Probe archive before cascade to vehicles quotations and jobs"
140,"Security and Regression Risk Checks","Reject Vehicle Update Across Branch by Direct API",<<include>>,"Update Vehicle Details","Front Desk Staff",partial,"Probe api/vehicles-api.php?action=update with foreign vehicle ID"
141,"Security and Regression Risk Checks","Reject Other-Branch Vehicle Lookup by AJAX",<<include>>,"Get Customer Vehicles by AJAX","Front Desk Staff",partial,"Probe api/vehicles-api.php?action=get_customer_vehicles using foreign customer ID"
142,"Security and Regression Risk Checks","Reject Other-Branch Quotation PDF",<<include>>,"Print Service Operation","Front Desk Staff",partial,"Probe api/quotation-print.php?id with foreign quotation ID"
143,"Security and Regression Risk Checks","Reject Settings Save Without CSRF",<<include>>,"Configure System Settings","Admin / Owner",partial,"Settings handler should enforce token before saving"
144,"Security and Regression Risk Checks","Reject Transfer Mutation Without CSRF",<<include>>,"Approve or Complete Transfer Request","Front Desk Staff",partial,"Confirm transfer API security expectation and actual behavior"
145,"Security and Regression Risk Checks","Reject GET Archive Mutation Without CSRF",<<include>>,"Archive Vehicle or Job Order","Front Desk Staff",partial,"Vehicle and job archive paths should require valid CSRF even on GET-style calls"
146,"Security and Regression Risk Checks","Reject Cross-Branch Search Suggestions",<<include>>,"Search and Filter Records","Front Desk Staff",CHECK,"Search suggestion API must stay branch-scoped for front desk users"
147,"Security and Regression Risk Checks","Handle SQL Injection-Like Search Text",<<include>>,"Search and Filter Records",System,CHECK,"Search APIs return safe JSON or no results without SQL errors"
148,"Security and Regression Risk Checks","Escape Script Text in UI and PDFs",<<include>>,"All Rendered Records",System,CHECK,"Customer notes service names comments and report values must not execute HTML or script"
149,"Security and Regression Risk Checks","Rollback Failed Database Transaction",<<include>>,"Mutating Workflows",System,CHECK,"Failed operation must not leave partial quotation job transfer or inventory rows"
150,"End-to-End Workflow","New Customer to Completed Job",,,"Front Desk Staff; Customer",CHECK,"Add customer and vehicle create operation approve create job complete tasks generate history and queue SMS"
151,"End-to-End Workflow","Other-Branch Item Service",,,"Requesting Branch Front Desk; Donor Branch Front Desk; Customer",CHECK,"Create operation with donor item request approve complete transfer then complete dependent task"
152,"End-to-End Workflow","Inventory Direct Sale",,,"Front Desk Staff",CHECK,"Stock out item tag customer vehicle verify transaction report and customer branch touch"
153,"End-to-End Workflow","Supplier Restock to Forecast Update",,,"Front Desk Staff; Admin / Owner",CHECK,"Stock in low item verify low-stock count and forecasting risk change"
154,"End-to-End Workflow","Archive Workflow",,,"Front Desk Staff; Admin / Owner",CHECK,"Archive eligible customer vehicle operation and waiting job then verify reports and audit"
155,"End-to-End Workflow","Admin Setup Workflow",,,"Admin / Owner; Front Desk Staff",CHECK,"Add branch technicians front desk user then log in and create branch job"
156,"End-to-End Workflow","Reporting and Export Workflow",,,"Admin / Owner; Front Desk Staff",CHECK,"Perform activity view report filters export CSV and verify downloaded rows"
157,"End-to-End Workflow","Notification Workflow",,,"Donor Branch Front Desk; Requesting Branch Front Desk",CHECK,"Generate transfer notification mark read unread and verify badge counts"
